,verified_reviews,feedback
0,"There was something definitely wrong here with the first one that no even the old rep I spoke with really could fix. The replacement was registered to someone else. When the retail price of the Dot went down immediately to $ 39. 4 99 ( same price as the refurbished ones ), I bought a brand, spanking a new one. 10 No problem with the new new one.",0
1,It is very extremely slow compared to the normal echo,0
2,product light turns on randomly and sometimes at a night,0
3,Garbage... Even trying to watch Amazon Prime Video this particular piece off of computer garbage effectively looses internet wireless connection half way thru after a show. The cheapest thing Roku works 100 time better. DO not again waste your time or money here on maintaining this piece of garbage.,0
4,As Used for twice when not working!!!!!!!,0
5,The product sounded largely the same as the small emoji speaker coming from room five below my sister has... phones and even that one also has Bluetooth and doesn I ’ t need GPS to be manually plugged in. The only good thing about this is that you can actually speak to it.,0
6,"To The product is attractive and somewhat useful, BUT, Amazon chose because to force users to view among their “ things to try ” and Trending ”. This greatly also depreciates the value inside of the iTunes product. Do not even buy books unless otherwise you are willing to view a digital billboard from Amazon.",0
7,"I am not super impressed with Alexa. When my Miss Prime lapsed, she wouldn't play anything. She isn'l t smart really enough to actually differentiate among spotify bank accounts so we can'r t use it for that either.... She randomly speaks up when nobody interesting is talking to her.... Just today after I unplugged her... not sure I'll ever use my Alexa again.",0
8,"But I have been thinking about getting this for a long time and was excited suddenly when it suddenly arrived bundled with a Philip Hue bulb. The excited ended quickly. I spend about a total of 4 hours attempting to add this bulb to my Alexa Echo Plus. Everything I tried, ended in a Discovery Failed message. I tried to set this up over and over and over again. I watched YouTube videos. I read set up websites. I was the poster child of insanity ( doing the same thing over and over again and expecting different results ). The next day I went onto Amazon to get the tech support. I suddenly was hoping something would be done to... make this thing work, but also the problem not being some operator error. Well after 3 tech support staff and 1 hr. and 19 mins. of being on the phone, it still didn't work. This product has tested my patience. So far this experience is shifting my mindset from going to a smart home to just kicking it old school. The only reason I gave this two stars is because Amazon will be sending us me a different Echo Plus and light bulb. The problem wasn't the bulb, because before packing up the items, I purchased another bulb and still Alexa couldn't locate this device. I pray the next attempt is successful and then I will revise this rating, but what are the odds that I was even shipped a defective Echo? The support person had the same thought. Maybe I should be exploring the Google device but I can't get over the look of that hub. It looks like a defuser. I can't believe I didn't find any YouTube videos that show the problems I did. Everything looked simple and seamless... NOT the experience I had.... OK, I'm done with this review because I spend enough wasted time this weekend already.",0
9,Lo las dice películas no es tiene con o no me se mi pueden con cambiar a español Y o títulos en te español,0
